7530-815399
OS REV: 1.05 Sensor Cal: 1620284400
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1691043840, +3.47, +21.387,  +0.05682, -224.000, +536.000, +1374.000
1691044140, +3.47, +21.387,  +0.01545, -224.000, +520.000, +1356.000
1691044440, +3.47, +21.378,  -0.14177, -224.000, +534.000, +1372.000
1691044740, +3.47, +21.378,  -0.04248, -224.000, +518.000, +1351.000
1691045040, +3.47, +21.387,  -0.04523, -186.000, +550.000, +1311.000
1691045340, +3.47, +21.378,  +0.03199, -224.000, +528.000, +1361.000
1691045640, +3.47, +21.378,  -0.01489, -184.000, +547.000, +1311.000
1691045940, +3.47, +21.362,  +0.12853, -224.000, +534.000, +1369.000
1691046240, +3.47, +21.353,  -0.00386, -223.000, +534.000, +1368.000
1691046540, +3.47, +21.353,  -0.00938, -224.000, +520.000, +1356.000
1691046840, +3.47, +21.378,  -0.03420, -221.000, +536.000, +1374.000
1691047140, +3.47, +21.370,  +0.04579, -224.000, +528.000, +1366.000
1691047440, +3.47, +21.378,  -0.07282, -221.000, +536.000, +1368.000
1691047740, +3.47, +21.370,  -0.01489, -224.000, +531.000, +1366.000
1691048040, +3.46, +21.387,  +0.06785, -180.000, +544.000, +1319.000
1691048340, +3.47, +21.395,  -0.19142, -224.000, +532.000, +1366.000
1691048640, +3.47, +21.378,  +0.04854, -224.000, +536.000, +1368.000
1691048940, +3.47, +21.353,  -0.13901, -224.000, +545.000, +1372.000
1691049240, +3.46, +21.328,  -0.15005, -224.000, +542.000, +1372.000
1691049540, +3.46, +21.278,  -0.03696, -224.000, +544.000, +1372.000
1691049840, +3.47, +21.244,  -0.01489, -224.000, +551.000, +1372.000
1691050140, +3.46, +21.185,  +0.04854, -220.000, +572.000, +1366.000
1691050440, +3.46, +21.152,  -0.02317, -223.000, +582.000, +1359.000
1691050740, +3.46, +21.085,  +0.07337, -224.000, +576.000, +1366.000
1691051040, +3.46, +21.034,  -0.00110, -208.000, +593.000, +1328.000
1691051340, +3.46, +20.984,  -0.00386, -216.000, +591.000, +1343.000
1691051640, +3.46, +20.917,  -0.10867, -220.000, +584.000, +1356.000
1691051940, +3.46, +20.858,  -0.01489, -200.000, +591.000, +1311.000
1691052240, +3.46, +20.808,  +0.00993, -196.000, +588.000, +1310.000
1691052540, +3.46, +20.749,  +0.08440, -192.000, +584.000, +1305.000
1691052840, +3.46, +20.674,  +0.05130, -186.000, +579.000, +1303.000
1691053140, +3.46, +20.623,  -0.01214, -200.000, +590.000, +1310.000
1691053440, +3.46, +20.556,  +0.05406, -188.000, +579.000, +1304.000
1691053740, +3.46, +20.481,  +0.03475, -184.000, +576.000, +1294.000
1691054040, +3.46, +20.430,  -0.18039, -224.000, +560.000, +1361.000
1691054340, +3.46, +20.397,  +0.01269, -226.000, +560.000, +1359.000
1691054640, +3.46, +20.355,  -0.07006, -224.000, +552.000, +1352.000
1691054940, +3.46, +20.321,  -0.00662, -224.000, +563.000, +1360.000
1691055240, +3.46, +20.279,  +0.01820, -224.000, +576.000, +1363.000
1691055540, +3.46, +20.237,  +0.09268, -218.000, +592.000, +1345.000
1691055840, +3.46, +20.178,  +0.10647, -200.000, +590.000, +1311.000
1691056140, +3.46, +20.161,  -0.11971, -208.000, +598.000, +1318.000
1691056440, +3.46, +20.136,  -0.09764, -212.000, +595.000, +1336.000
1691056740, +3.46, +20.103,  -0.08661, -208.000, +598.000, +1316.000
1691057040, +3.46, +20.077,  -0.01489, -208.000, +598.000, +1320.000
1691057340, +3.46, +20.052,  +0.07888, -200.000, +595.000, +1312.000
